model,Accuracy,Precision,Recall,f1-score,roc_auc,accuracy,precision_macro,recall_macro,f1_macro
KNN,0.9333333333333332,0.899749373433584,0.9181818181818184,0.9062053690762591,0.9944926299628324,,,,
logistic_regression,,,,,0.985624607658506,0.9466666666666668,0.921727395411606,0.9257575757575758,0.9199781061850026
random_forest,,,,,0.9960467671060892,0.96,0.9369747899159664,0.9347222222222222,0.93521421107628
KNN,0.9333333333333332,0.899749373433584,0.9181818181818184,0.9062053690762591,0.9944926299628324,,,,
logistic_regression,,,,,0.985624607658506,0.9466666666666668,0.921727395411606,0.9257575757575758,0.9199781061850026
random_forest,,,,,0.9960467671060892,0.96,0.9369747899159664,0.9347222222222222,0.93521421107628
